"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-5291485-7429109","Olfa LBB Cuttermesser-Klingen, Schwarz, ...","13.87","0","-4.52","2.63","11.98"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-7624853-6233923","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Erstattung","304-5890685-6657120","Bildhauerklüpfel konisch Weißbuche 70mm","-14.76","0","1.82","-2.8","-15.74"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-7403699-0509907","Fermit Schamottemörtel 1kg feuerfest Kle...","8.5","0","-5.68","1.61","4.43"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-8537552-1290734","Fermit Schamottemörtel 1kg feuerfest Kle...","8.85","0","-5.74","1.68","4.79"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-8486228-9236327","Lackhobel/Lackziehklinge LZK-HM für Tisc...","39.77","0","-8.22","7.56","39.11"
"12.1.2023","Veröffentlicht","Commingling VAT","1410257313","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-5.08","-5.08"
"12.1.2023","Veröffentlicht","Commingling VAT","1410257313","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","6.15","6.15"
"12.1.2023","Veröffentlicht","Commingling VAT","1410256533","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-5.33","-5.33"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-0595110-4465145","Tajima Razar Black 18 mm Klingen, Spende...","5.28","0","-3.03","1","3.25"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-5810254-5385132","Tajima TAJ-DC661W DORA Cuttermesser mit ...","14.11","0","-5.5","2.68","11.29"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-0411131-7073164","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-5.99","4.4","12.79"
